tic_id,n_sectors
260241701,37
389920950,37
287401176,37
167247077,37
167303776,37
404768604,37
373432787,37
167121012,37
404768745,37
391745863,37
389365531,37
176980995,37
167087044,37
404849302,37
179209305,37
167342439,37
382259748,37
389363675,37
382247276,37
167365279,37
260656168,37
150428703,37
141429030,37
382244898,37
276861788,37
31268146,37
404796860,37
404768956,37
425085686,37
425084841,36
150098291,36
149600846,36
41259805,36
41532123,36
404797151,36
391887390,36
31508554,36
150142806,36
404852071,36
350481741,36
350477148,36
150065151,36
404797355,36
141768070,36
375061989,36
391746578,36
364322720,36
167170023,36
149540013,36
231742691,36
167524561,36
260507500,36
149575726,36
150390619,36
149478846,36
41529304,36
150068381,36
167006493,35
382188882,35
348842421,35
350744311,35
364588805,35
277099925,35
382244430,35
141030721,35
141769434,35
150320178,35
149272506,35
179119903,35
350933091,35
141769356,35
404927661,35
382266319,35
149218683,35
260536927,35
149542947,35
141977935,35
141942911,35
167086013,35
41331819,35
167009292,35
260079188,35
142144162,35
382188816,35
150102227,35
374997695,35
176958231,35
277301964,35
277295979,35
31509222,35
277099881,35
150029671,34
167549764,34
382266537,34
382068748,34
31414018,34
141770609,34
350844714,34
141811540,34
141772259,34
177258212,34
309618061,34
41226271,34
350744678,34
150270977,34
167123841,34
141095359,34
141865201,34
149275235,34
179317684,34
260655797,34
348840076,34
261154464,34
177253314,34
350824771,34
350297677,34
141757920,34
150430837,34
277103567,34
358459070,34
179120455,34
261399435,34
309617141,34
471013553,34
150392753,34
382256404,34
382257632,34
149631289,34
149664423,34
382265694,34
179637336,34
350715999,34
382069435,34
141757732,34
141606958,34
149598862,34
278862239,34
257720376,34
382159772,34
141124144,34
350656545,34
141605929,34
382160308,34
257720377,34
382101770,34
141756213,34
141757294,34
350740740,34
260608820,34
176872955,34
149423652,34
278731442,34
278775323,34
260538402,34
149102728,34
150323334,34
350654140,34
167572013,34
141752883,34
149602308,34
374912514,34
260046359,34
260046328,34
260075733,34
260043723,34
150109008,34
150030411,34
150030323,33
260356202,33
260368246,33
260372940,33
350520993,33
382257670,33
382257922,33
149037112,33
260419365,33
260419794,33
425067522,33
41034345,33
471013582,33
150029272,33
167011856,33
260044924,33
260076575,33
278727563,33
260003140,33
260003879,33
278987334,33
278779083,33
278824412,33
278861774,33
141975620,33
40802388,33
149970613,33
149971537,33
279958827,33
141941684,33
257721857,33
293225109,33
179637063,33
141435818,33
141414217,33
142016119,33
278684349,33
142017509,33
277101175,33
389568266,33
149930009,33
149931603,33
382258935,33
141826495,33
179315999,33
370227982,33
370228027,33
370228164,33
260128069,33
260130483,33
149174106,33
150430431,33
150430566,33
375056781,33
382259669,33
364588832,33
364589064,33
364589559,33
364590050,33
141471870,33
141472911,33
141526439,33
364588606,33
150165657,33
382257374,33
150392377,33
150393191,33
150393198,33
150393302,33
141823882,33
179123560,33
179304753,33
309617117,33
382029368,33
382030592,33
261377762,33
142085192,33
260162604,33
261090191,33
350861314,33
350931523,33
141805493,33
141824122,33
309791561,33
177257949,33
149303766,33
309698892,33
309699051,33
141811445,33
348842237,33
141770047,33
31505975,33
167309174,33
167309586,33
350859059,33
261107147,33
141028120,33
141028164,33
382244825,33
261138068,33
382302322,33
141768040,33
149347296,33
348839628,33
350841387,33
149497763,33
348841745,33
261156988,33
260659364,33
260659374,33
142105308,33
142105613,33
382099509,33
382101865,33
382145139,33
382148025,33
149348420,33
350274835,33
350297075,33
350763476,33
149972207,33
141542023,33
350711213,33
350715144,33
141185142,33
260606294,33
260635418,33
260640855,33
382159621,33
382160101,33
382160146,33
382186823,33
141755163,33
167416361,33
167417695,33
167419543,33
167422188,33
167524928,33
149450612,33
350656478,33
350334038,33
150359892,33
150360085,33
142109430,33
260299812,33
150322196,33
149913598,33
141610893,33
149391500,33
176956040,33
350334901,33
350335082,33
350344317,33
350345733,33
141709296,33
350297922,33
350332008,33
141708546,33
350480893,33
167550778,33
141607972,33
350619392,33
382199496,33
260503412,33
260303793,33
260304800,33
142149242,33
150142653,32
150151262,32
150166759,32
149987940,32
260503815,32
260351032,32
260351280,32
260418241,32
260420562,32
150185581,32
150188758,32
150189153,32
149970589,32
149971113,32
149971331,32
391948885,32
382268257,32
149120602,32
260297253,32
260297724,32
260300073,32
260471066,32
260476779,32
142142488,32
149935365,32
150274632,32
150299115,32
149930150,32
141096071,32
141026903,32
141028962,32
382246984,32
150301529,32
150322652,32
150323138,32
382187849,32
382189163,32
382189406,32
382200069,32
142107756,32
149107360,32
149120276,32
260505542,32
260540898,32
260542013,32
260542381,32
150358147,32
150359212,32
382069455,32
382098485,32
382098944,32
382099053,32
382101389,32
382147162,32
382042321,32
260190364,32
260192532,32
149154577,32
260605506,32
260636511,32
382045620,32
382066186,32
375088647,32
382030398,32
382032987,32
150394536,32
149630117,32
150430484,32
141282136,32
375059160,32
141269964,32
150439289,32
142087451,32
260654645,32
260709448,32
150439989,32
150442658,32
375033848,32
375038081,32
375038128,32
141271216,32
141278810,32
142049025,32
142051349,32
261417402,32
270474524,32
270554477,32
276864600,32
142082642,32
149175859,32
167009792,32
374911869,32
374945276,32
141283921,32
141423536,32
373918302,32
373919576,32
278862750,32
373982378,32
374858533,32
374858999,32
141412532,32
167088119,32
373598109,32
167163613,32
149538480,32
370227155,32
141435705,32
167249270,32
167249390,32
167250269,32
350953813,32
350954351,32
364302017,32
364326269,32
280867781,32
257720503,32
257720801,32
149216024,32
278866220,32
278959348,32
278823421,32
141479174,32
141479310,32
167308905,32
167341796,32
149497543,32
350930869,32
350931281,32
350840417,32
179640738,32
231741096,32
279950870,32
279956826,32
167366681,32
350765484,32
350766639,32
350821292,32
350713883,32
167421913,32
350655055,32
350657135,32
350620345,32
350622144,32
350654290,32
287438823,32
293223210,32
293225221,32
293225895,32
149253409,32
149473171,32
141626634,32
350563576,32
350581003,32
350584959,32
141621803,32
350519160,32
350522060,32
167570500,32
149449530,32
167602738,32
350481337,32
350518586,32
179305185,32
179312477,32
179369970,32
293270903,32
293270932,32
293273183,32
141941710,32
176873840,32
176875632,32
176875890,32
141712167,32
350434027,32
350442619,32
141708147,32
176936125,32
176954188,32
149390648,32
350335258,32
350342756,32
350298298,32
179114436,32
309615852,32
309616407,32
149391010,32
149391335,32
176983552,32
176983629,32
149347948,32
350294979,32
141765836,32
141766144,32
309790097,32
31273263,32
31313963,32
309657610,32
177241155,32
177253915,32
348841768,32
309755084,32
150100421,32
41226614,32
260371854,32
737396657,32
150064238,32
150030950,31
737165370,31
737492561,31
260305086,31
260351752,31
260351985,31
260352274,31
142145534,31
140998522,31
391821943,31
391950805,31
31530505,31
309703910,31
150141898,31
41590715,31
389663831,31
150189995,31
150247721,31
150248922,31
150249728,31
150250236,31
150271680,31
141029787,31
382301971,31
177254872,31
177254988,31
177255132,31
149303310,31
179046780,31
141867607,31
309617715,31
389433788,31
142109390,31
142148289,31
260473060,31
142142160,31
150272277,31
